#name sex hobby
1 m 2
1 m 1
1 m 3
2 f 2
2 f 1
2 f 3
3 m 3
3 m 2
4 m 3
4 m 2
4 m 1
5 m 2
5 m 1
5 m 3
6 m 2
6 m 3
6 m 1
7 f 1
7 f 2
7 f 3
8 m 3
8 m 1
9 m 2
9 m 3
9 m 1
10 m 3
10 m 2
10 m 1
11 m 1
11 m 3
11 m 2
12 f 3
12 f 1
12 f 2
13 m 2
13 m 3
14 m 1
14 m 2
15 m 2
15 m 3
15 m 1
16 f 2
16 f 3
17 f 3
17 f 2
18 m 1
18 m 3
18 m 2
19 f 3
19 f 1
20 f 1
20 f 3
20 f 2
21 m 2
21 m 3
22 m 2
22 m 3
23 f 1
23 f 2
24 f 3
24 f 1
24 f 2
25 f 3
25 f 1
25 f 2
26 m 2
26 m 1
26 m 3
27 f 2
27 f 3
27 f 1
28 f 1
28 f 2
29 f 2
29 f 3
29 f 1
30 f 2
30 f 1
30 f 3
31 f 1
31 f 2
31 f 3
32 f 1
32 f 2
